Fin_Year,Annual_Qty_mL,Annual_Cost_GBP,Annual_Vials,Annual_Vials_500eq,Avg_Trusts,Months_Reported,Daily_Avg_Vials,Avg_Cost_Per_Vial,Cost_YoY_pct,Vol_YoY_pct
2019/20,3448688.6,27857648.37,239434.9,344868.9,130.41666666666666,12,656.0,116.35,,
2020/21,3194570.5,26056367.61,203974.8,319457.0,131.5,12,558.8,127.74,-6.466018725183586,-7.3685429296225795
2021/22,4144080.0,33611870.0,259222.4,414408.0,130.83333333333334,12,710.2,129.66,28.996760036116175,29.72260277242278
2022/23,4633686.0,35467171.35,288549.5,463368.6,131.75,12,790.5,122.92,5.519780214549219,11.814588521457114
2023/24,4934207.0,39974699.32,306332.5,493420.7,131.0,12,839.3,130.49,12.709014557485986,6.485571098257403
2024/25,4988463.0,40312941.39,306368.2,498846.3,130.33333333333334,12,839.4,131.58,0.846140373170412,1.0995890525063112
2025/26,4003927.66,32229309.56,237484.1,400392.8,128.1,10,650.6,135.71,-20.052200487670746,-19.736246214515376
