ODS_CODE,Trust_Name,NHS_Region,ICB_Name,Total_Cost_GBP,Total_Qty_mL,Total_Vials,Months_Active,First_Month,Last_Month,Trust_Postcode,Avg_Monthly_Cost,Cost_Rank
RAX,Unknown Trust,London,Unknown ICB,180972.5,18950.0,1895.0,40,2021-03-01,2026-01-01,KT2 7QB,4524.0,113
RBA,Unknown Trust,South West,Unknown ICB,166592.77,21600.0,1083.0,12,2019-04-01,2020-03-01,TA1 5DA,13883.0,114
RA9,Unknown Trust,South East,Unknown ICB,159375.71,17510.0,1558.0,79,2019-04-01,2026-01-01,TN23 3AJ,2017.0,115
RGT,Unknown Trust,London,Unknown ICB,154140.51,16446.0,2534.2,82,2019-04-01,2026-01-01,WC1E 6AU,1880.0,116
RC1,BEDFORD HOSPITAL NHS TRUST,South East,Unknown ICB,153594.45,19486.0,1129.0,12,2019-04-01,2020-03-01,MK42 9DJ,12800.0,117
RQ6,ROYAL LIVERPOOL AND BROADGREEN UNIVERSITY HOSPITALS NHS TRUST,North West,Unknown ICB,148962.82,19048.0,1207.8,6,2019-04-01,2019-09-01,L7 8XP,24827.0,118
RBS,Unknown Trust,South West,Unknown ICB,109105.46,11586.0,1160.0,81,2019-04-01,2026-01-01,BS13 7FH,1347.0,119
RP4,Great Ormond Street Hospital for Children NHS Foundation Trust,London,Unknown ICB,106297.25,11153.1,1115.3,70,2019-04-01,2026-01-01,WC1N 3JH,1519.0,120
RNL,NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST,North West,Unknown ICB,100664.8,12680.0,989.0,6,2019-04-01,2019-09-01,CA2 7HY,16777.0,121
RCD,Unknown Trust,North East & Yorkshire,Unknown ICB,99859.63,10596.0,1086.0,73,2019-04-01,2026-01-01,DH8 8NT,1368.0,122
R1L,Essex Partnership University NHS Foundation Trust,East of England,Unknown ICB,97102.46,10220.0,1010.0,69,2019-05-01,2026-01-01,CM1 1LT,1407.0,123
RBQ,Unknown Trust,North West,Unknown ICB,88916.68,11080.0,706.0,64,2019-07-01,2025-12-01,L9 7AL,1389.0,124
RJ8,Cornwall Partnership NHS Foundation Trust,South West,Unknown ICB,71881.52,9210.0,504.0,65,2020-04-01,2026-01-01,TR1 3LQ,1106.0,125
RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",London,Unknown ICB,70225.81999999999,8860.0,513.0,76,2019-08-01,2026-01-01,RM7 0AG,924.0,126
RL1,Unknown Trust,Midlands,Unknown ICB,67852.25,7200.0,727.0,78,2019-05-01,2026-01-01,B18 7QH,870.0,127
RN5,Unknown Trust,South East,Unknown ICB,59009.47,6260.0,626.0,79,2019-04-01,2026-01-01,RG2 7ET,747.0,128
RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,South East,Unknown ICB,57595.56,6958.0,527.0,82,2019-04-01,2026-01-01,HP7 0JD,702.0,129
RD1,Unknown Trust,South East,Unknown ICB,49497.65,5198.0,551.0,75,2019-05-01,2026-01-01,RG7 1AQ,660.0,130
RDD,Unknown Trust,North West,Unknown ICB,42505.15,5452.0,337.0,10,2019-04-01,2020-03-01,CH65 4LS,4251.0,131
TAJ,"Tees, Esk and Wear Valleys NHS Foundation Trust",North East & Yorkshire,Unknown ICB,37458.259999999995,4840.0,253.0,46,2019-04-01,2025-04-01,DL3 6HX,814.0,132
RK5,Unknown Trust,London,Unknown ICB,35416.18,3710.0,371.0,66,2019-09-01,2026-01-01,KT18 7EG,537.0,133
R1F,ISLE OF WIGHT NHS TRUST,South East,Unknown ICB,33000.38,3480.0,345.0,53,2019-06-01,2026-01-01,PO30 5TG,623.0,134
RRJ,The Royal Orthopaedic Hospital NHS Foundation Trust,Midlands,Unknown ICB,31153.79,3610.0,273.0,62,2019-07-01,2025-10-01,B31 2AP,502.0,135
RBD,Unknown Trust,Midlands,Unknown ICB,29389.2,3108.0,534.0,79,2019-04-01,2026-01-01,NG17 4JL,372.0,136
RVV,Unknown Trust,South East,Unknown ICB,29012.42,3308.0,392.0,60,2019-05-01,2026-01-01,CT1 3NG,484.0,137
RYW,Birmingham Women's and Children's NHS Foundation Trust,Midlands,Unknown ICB,28978.98,3074.0,302.0,60,2019-04-01,2025-09-01,B15 2TG,483.0,138
RH8,Unknown Trust,South East,Unknown ICB,25795.07,2793.0,408.0,56,2019-07-01,2026-01-01,GU11 3HS,461.0,139
RBT,Unknown Trust,London,Unknown ICB,23655.829999999998,3022.0,193.0,49,2019-04-01,2025-12-01,UB1 3HW,483.0,140
RY3,EAST OF ENGLAND COMMUNITY HEALTH AND CARE NHS TRUST,East of England,Unknown ICB,21776.12,2710.0,165.0,52,2020-07-01,2026-01-01,NR2 3TU,419.0,141
RTK,Unknown Trust,London,Unknown ICB,14539.88,1530.0,153.0,50,2019-05-01,2026-01-01,KT18 7EG,291.0,142
R1A,HEREFORDSHIRE AND WORCESTERSHIRE HEALTH AND CARE NHS TRUST,Midlands,Unknown ICB,13776.43,1640.0,116.0,29,2019-12-01,2026-01-01,WR5 1JR,475.0,143
R0D,University Hospitals Dorset NHS Foundation Trust,South West,Unknown ICB,13026.2,1364.0,170.0,47,2020-10-01,2026-01-01,BH15 2JB,277.0,144
RT5,LEICESTERSHIRE PARTNERSHIP NHS TRUST,Midlands,Unknown ICB,12532.34,1520.0,100.0,16,2019-04-01,2021-04-01,LE3 8RA,783.0,145
RWA,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,North East & Yorkshire,Unknown ICB,11593.53,1370.0,321.0,32,2019-08-01,2025-07-01,HU3 2JZ,362.0,146
RW1,Bradford Teaching Hospitals NHS Foundation Trust,North East & Yorkshire,Unknown ICB,11456.15,1270.0,113.0,32,2019-04-01,2026-01-01,BD9 6RJ,358.0,147
RET,Somerset Partnership NHS Foundation Trust,South West,Unknown ICB,8017.469999999999,1036.0,62.0,26,2019-04-01,2026-01-01,TA6 4QA,308.0,148
RA3,WESTON AREA HEALTH NHS TRUST,South West,Unknown ICB,7918.75,1020.0,58.0,10,2019-04-01,2020-03-01,BS23 4TQ,792.0,149
R1J,GLOUCESTERSHIRE CARE SERVICES NHS TRUST,South West,Unknown ICB,6800.62,840.0,80.0,5,2019-04-01,2020-09-01,GL3 4AW,1360.0,150
RDZ,Unknown Trust,South West,Unknown ICB,5610.63,610.0,61.0,14,2019-04-01,2020-09-01,BH7 7DW,401.0,151
RDR,Sussex Community NHS Foundation Trust,South East,Unknown ICB,5150.5199999999995,660.0,37.0,22,2019-11-01,2026-01-01,BN2 3EW,234.0,152
RWH,EAST AND NORTH HERTFORDSHIRE TEACHING NHS TRUST,East of England,Unknown ICB,4870.5,510.0,51.0,19,2021-06-01,2026-01-01,SG1 4AB,256.0,153
RJN,EAST CHESHIRE NHS TRUST,North West,Unknown ICB,1814.5,190.0,19.0,8,2023-05-01,2025-12-01,SK10 3BL,227.0,154
RXE,"Rotherham, Doncaster and South Humber NHS Foundation Trust",North East & Yorkshire,Unknown ICB,1525.07,200.0,10.0,5,2022-06-01,2025-10-01,DN4 8QN,305.0,155
RT1,Cambridgeshire and Peterborough NHS Foundation Trust,East of England,Unknown ICB,1428.6799999999998,180.0,14.0,4,2019-06-01,2025-07-01,CB21 5EF,357.0,156
